date,요일,포도_거래량(kg),포도_가격(원/kg),망고_거래량(kg),망고_가격(원/kg),체리_거래량(kg),체리_가격(원/kg),레몬_거래량(kg),레몬_가격(원/kg),블루베리_거래량(kg),블루베리_가격(원/kg),수박_거래량(kg),수박_가격(원/kg),딸기_거래량(kg),딸기_가격(원/kg),메론_거래량(kg),메론_가격(원/kg),사과_거래량(kg),사과_가격(원/kg),참외_거래량(kg),참외_가격(원/kg),감귤_거래량(kg),감귤_가격(원/kg),바나나_거래량(kg),바나나_가격(원/kg),복숭아_거래량(kg),복숭아_가격(원/kg),참다래(키위)_거래량(kg),참다래(키위)_가격(원/kg),자두_거래량(kg),자두_가격(원/kg),파인애플_거래량(kg),파인애플_가격(원/kg)
2020-01-01,수요일,80.0,4937.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,10838.815789473685,0.0,0.0,825.0,2448.4848484848485,0.0,0.0,10470.0,1122.0152817574021,0.0,0.0,0.0,0.0,100.0,3000.0,10.0,6000.0,0.0,0.0
2020-01-02,목요일,7307.4,4077.2094041656405,1036.0,6583.976833976834,2040.0,13120.588235294117,366.6,3447.1903982542276,332.5,11254.135338345865,10610.0,2474.674835061263,40206.5,14548.951040254686,4042.0,2871.328550222662,143289.0,2291.120044106666,0.0,0.0,473374.5,1436.1597424449353,75606.0,1582.2090839351374,0.0,0.0,2110.0,3163.7440758293837,0.0,0.0,9718.0,2395.1142210331345
2020-01-03,금요일,123328.20000000001,5584.640252594297,7548.0,7371.886592474828,6051.0,13410.18013551479,11814.560000000001,3245.099859833967,3529.45,11360.721925512475,78991.0,2457.878492486486,439280.8,12512.915014724067,44461.5,4096.33224250194,1309856.6,2274.7513208697806,2810.0,4431.5658362989325,2780474.0,1497.9372617762294,920399.8200000001,1188.7202672421208,210.0,1328.5714285714287,50769.0,4168.183340227304,0.0,0.0,146887.0,1680.365859470205
2020-01-04,토요일,73000.5,6563.447236662762,3623.0,6660.024841291747,18010.4,10540.025207657796,6472.8,3461.0972067729576,1561.6,14054.399334016394,47803.5,2290.785402742477,431721.15,11778.870504722781,21447.4,4909.190391376111,1145968.6,1570.721422908097,4250.0,2709.2,2240463.5,1441.7760030457982,266685.5,1281.918364515506,3.0,3000.0,33995.5,3211.6662499448457,15.0,11933.333333333334,61085.0,1800.345420315953
2020-01-06,월요일,115448.70000000001,6560.8371510463085,3318.0,6565.355635925256,15627.0,10445.964036603315,14927.5,3277.2031485513317,3045.65,11810.434554200252,86253.0,2299.465178022793,377029.78,11280.019419155695,44633.0,3783.504357762194,2289436.8,1929.7999272135403,1645.0,2133.860182370821,2639194.8,1565.7876371990428,749667.7,1069.6529408963465,0.0,0.0,50674.3,2975.61525270206,6.0,4000.0,126028.0,1702.4946837210778
2020-01-07,화요일,147616.3,5800.698771070675,9347.0,6344.516957312507,25009.9,7609.979648059368,9197.3,3231.1308753655967,7247.1,11080.763339818686,31903.5,2271.5457551679283,304068.69999999995,10285.63220088092,30471.2,4082.066016435191,1615389.0,1913.2583544892284,945.0,3784.3386243386244,2154690.6999999997,1467.0995795359402,486429.2,1245.7258322485575,1940.0,3480.8762886597938,29113.5,3259.633159874285,0.0,0.0,94543.5,1614.0264534314892
2020-01-08,수요일,69881.5,6838.727731946224,4525.0,5371.255248618784,7011.0,9997.004706889174,14463.44,3255.519295547947,3803.6,8050.044694499948,28556.0,2302.0197506653594,194655.7,10363.913001263256,20197.5,3275.915534100755,1813724.0,2077.773795792524,2025.0,4761.234567901234,1955999.7,1453.7047270508274,467888.0,1221.0592363984542,30.0,2000.0,41692.0,4090.1228053343566,9.0,12388.888888888889,46194.0,1710.7762912932415
2020-01-09,목요일,82847.29999999999,6536.935965324157,9405.0,7357.049441786284,14798.5,10418.247795384666,25443.6,3412.462662516311,7738.0,9357.340398035669,39615.5,2307.4899976019487,197763.85,11319.377024668564,26119.0,3063.962632566331,2342516.2,2265.642787016798,3400.0,3290.470588235294,1827835.8,1442.1400160780306,507643.0,1331.7516640631309,0.0,0.0,46184.0,3473.121643859345,0.0,0.0,93936.5,1712.1353254592198
2020-01-10,금요일,77683.4,6814.823939219963,11259.0,7008.082422950529,4310.0,11334.91879350348,17274.0,3124.172166261433,5512.2,9295.109030876964,48943.0,2143.6200886745805,282716.0,11928.293269570877,33475.5,3486.083971860017,3057018.4,2418.9253162493233,6848.0,3640.9929906542056,1963077.0,1597.9918872260232,527218.0,1320.6947410748494,50.0,2900.0,52114.5,2812.8620633412966,3.0,8000.0,71923.0,1544.6964114400123
2020-01-11,토요일,52688.1,8273.521345427145,6596.0,7131.81473620376,5496.3,11800.147371868348,4807.639999999999,3246.6690517592833,1106.5,9094.441934026208,28802.0,2180.183667800847,304966.7,12831.985623348384,22901.6,3580.2315122087543,2578867.4,2384.720559886096,6833.0,4059.6092492316698,1855029.9,1659.1302086289822,163494.7,1375.1863516065046,1845.0,4621.680216802168,36471.0,3175.2104411724385,8.0,12500.0,14534.0,1781.7875326819872
